name,region,email,city,state,country,balance,tax,greek,school
Alpha,Midwest,alpha@thetatau.org,Minneapolis,Minnesota,United States,0,471806834,A,University of Minnesota
UA Colony,Northeast,ua.colony@thetatau.org,Albany,New York,United States,5520,,Albany,University at Albany
Beta,Midwest,beta@thetatau.org,Houghton,Michigan,United States,425,,B,Michigan Technological University
CSF Colony,Western,csf.colony@thetatau.org,Fullerton,California,United States,680,,CSF,"California State University, Fullerton"
CSLB Colony,Western,epsilon.gamma@thetatau.org,Long Beach,California,United States,0,,CSLB,purdue University
Delta,Great Lakes,cwru.colony@thetatau.org,Cleveland,Ohio,United States,4558.69,472375907,D,Case Western Reserve University
Delta Gamma,Western,delta.gamma@thetatau.org,Tempe,Arizona,United States,684,,DG,Arizona State University
Drexel Colony,Northeast,drexel.colony@thetatau.org,Philadelphia,Pennsylvania,United States,0,,DXL,Drexel University
Epsilon,Western,epsilon@thetatau.org,Berkeley,California,United States,0,,E,"University of California, Berkeley"
Epsilon Beta,Great Lakes,epsilon.beta@thetatau.org,Detroit,Michigan,United States,90,,EB,Wayne State University
Epsilon Delta,Western,epsilon.delta@thetatau.org,La Jolla,California,United States,1278,264733279,ED,University of California - San Diego
FIT Colony,Gulf,fit.colony@thetatau.org,Melbourne,Florida,United States,0,,FIT,Florida Institute of Technology
Gamma Beta,Atlantic,gamma.beta@tehtatau.org,Washington D.C.,District of Columbia,United States,0,,GB,The George Washington University
Eta,Northeast,mit.colony@thetatau.org,Cambridge,Massachusetts,United States,420,,H,Massachusetts Institute of Technology
Eta Delta,Atlantic,eta.delta@thetatau.org,College Park,Maryland,United States,0,,HD,"University of Maryland, College Park"
Eta Epsilon,Northeast,maine.colony@thetatau.org,Orono,Maine,United States,2365,,HE,University of Maine
Eta Gamma,Central,eta.gamma@thetatau.org,Boulder,Colorado,United States,0,,HG,University of Colorado at Boulder
Iota Delta,Southeast,iota.delta@thetatau.org,Nashville,Tennessee,United States,2178,,ID,Vanderbilt University
Iota Epsilon,Southeast,uga.colony@thetatau.org,Athens,Georgia,United States,0,,IE,University of Georgia
Iota Gamma,Great Lakes,iota.gamma@thetatau.org,Cincinnati,Ohio,United States,0,471816396,IG,University of Cincinnati
JMU Colony,Atlantic,jmu.colony@thetatau.org,Harrisonburg,Virgina,United States,170,,JMU,James Madison University
Kappa,Midwest,kappa@thetatau.org,Urbana,Illinois,United States,1094,273755589,K,University of Illinois
Kappa Beta,Southeast,kappa.beta@thetatau.org,Starkville,Mississippi,United States,1064,640889543,KB,Mississippi State University
Kappa Delta,Northeast,kappa.delta@thetatau.org,Ithaca,New York,United States,19,,KD,Cornell University
Kappa Epsilon,Western,usc.colony@thetatau.org,Los Angeles,California,United States,21,,KE,University of Southern California
Kappa Gamma,Atlantic,kappa.gamma@thetatau.org,Richmond,Virginia,United States,0,,KG,Virginia Commonwealth University
Lambda Beta,Southeast,lambda.beta@thetatau.org,Cookeville,Tennessee,United States,0,,LB,Tennessee Technological University
Lambda Delta,Western,lambda.delta@thetatau.org,Stockton,California,United States,1168,,LD,University of the Pacific
Lambda Epsilon,Western,usd.colony@thetatau.org,San Diego,California,United States,0,,LE,University of San Diego
Lambda Gamma,Southeast,lambda.gamma@thetatau.org,Clemson,South Carolina,United States,0,,LG,Clemson University
Mu,Southeast,mu@thetatau.org,Tuscaloosa,Alabama,United States,6845,,M,University of Alabama
Mu Delta,Western,mu.delta@thetatau.org,Merced,California,United States,0,,MD,"University of California, Merced"
Mu Epsilon,Central,baylor.colony@thetatau.org,Waco,Texas,United States,0,,ME,Baylor University
Mu Gamma,Northeast,mu.gamma@thetatau.org,Buffalo,New York,United States,0,,MG,University at Buffalo
NAU Colony,Western,nau.colony@thetatau.org,Flagstaff,Arizona,United States,0,,NAU,Northern Arizona University
